	neg	pos
neo-real	2.0	0.0
videodrom	2.0	0.0
czechoslovakia	2.0	0.0
swartzenegg	2.0	0.0
wald	2.0	0.0
bloodbath	2.0	0.0
shirishama	2.0	0.0
bole	2.0	0.0
dotson	2.0	0.0
krajeski	2.0	0.0
blatz	2.0	0.0
bumfuck	2.0	0.0
mercer	2.0	0.0
speilberg	2.0	0.0
makeshift	2.0	0.0
dunwich	2.0	0.0
bellami	2.0	0.0
gottfri	2.0	0.0
schlockfest	2.0	0.0
cogliostro	2.0	0.0
`ey	2.0	0.0
manual	2.0	1.0
self-loath	2.0	1.0
fellatio	2.0	1.0
disengag	2.0	1.0
self-indulg	2.0	1.0
cornbal	2.0	1.0
sesam	2.0	1.0
clarkson	2.0	1.0
josef	2.0	1.0
headset	2.0	1.0
germ	2.0	1.0
alessandro	2.0	1.0
risibl	2.0	1.0
_does_	2.0	1.0
new-ag	2.0	1.0
goggl	2.0	1.0
convuls	2.0	1.0
on-again	2.0	1.0
off-again	2.0	1.0
minimalist	2.0	1.0
friction	2.0	1.0
valiant	2.0	1.0
crosbi	2.0	1.0
stuck-up	2.0	1.0
whistl	2.0	1.0
grous	2.0	1.0
whiplash	2.0	1.0
phew	2.0	1.0
nondescript	2.0	1.0
dietl	2.0	1.0
stand-in	2.0	1.0
post-apocalypt	2.0	1.0
spin-off	2.0	1.0
kristi	2.0	1.0
pickup	2.0	1.0
usurp	2.0	1.0
conting	2.0	1.0
stowaway	2.0	1.0
helium	2.0	1.0
pizzazz	2.0	1.0
conceptu	2.0	1.0
scan	2.0	1.0
wine	2.0	1.0
waller	2.0	1.0
aisl	2.0	1.0
flurri	2.0	1.0
snicker	2.0	1.0
pick-up	2.0	1.0
regina	2.0	1.0
mishmash	2.0	1.0
pseudo-intellectu	2.0	1.0
_in	2.0	1.0
ingest	2.0	1.0
beta	2.0	1.0
norwood	2.0	1.0
fester	2.0	1.0
hygien	2.0	1.0
ehren	2.0	1.0
arlington	2.0	1.0
introductori	2.0	1.0
awash	2.0	1.0
misti	2.0	1.0
downstair	2.0	1.0
scene-st	2.0	1.0
spousal	2.0	1.0
protract	2.0	1.0
floorboard	2.0	1.0
purr	2.0	1.0
plea	2.0	1.0
unabash	2.0	1.0
skylin	2.0	1.0
autopsi	2.0	1.0
momentari	2.0	1.0
campfir	2.0	1.0
sneez	2.0	1.0
cb	2.0	1.0
overcam	2.0	1.0
ringwald	2.0	1.0
unprofession	2.0	1.0
skeet	2.0	1.0
leeri	2.0	1.0
cozi	2.0	1.0
primordi	2.0	1.0
unafraid	2.0	1.0
curvebal	2.0	1.0
solac	2.0	1.0
attun	2.0	1.0
physician	2.0	1.0
davison	2.0	1.0
transpos	2.0	1.0
stout	2.0	1.0
unwilling	2.0	1.0
hoover	2.0	1.0
rooney	2.0	1.0
marisol	2.0	1.0
ambush	2.0	1.0
bess	2.0	1.0
windswept	2.0	1.0
interstellar	2.0	1.0
long-await	2.0	1.0
haphazard	2.0	1.0
one-ey	2.0	1.0
spars	2.0	1.0
stung	2.0	1.0
eg	2.0	1.0
slobber	2.0	1.0
mini-seri	2.0	1.0
vivaci	2.0	1.0
xerox	2.0	1.0
kraft	2.0	1.0
wimp	2.0	1.0
re-tel	2.0	1.0
breathi	2.0	1.0
processor	2.0	1.0
a--	2.0	1.0
petul	2.0	1.0
non-tradit	2.0	1.0
rapid-fir	2.0	1.0
utmost	2.0	1.0
crewman	2.0	1.0
greenlight	2.0	1.0
dammit	2.0	1.0
c'mon	2.0	1.0
planner	2.0	1.0
newborn	2.0	1.0
arbogast	2.0	1.0
[pg]	2.0	1.0
ham-hand	2.0	1.0
nebbish	2.0	1.0
jack-in-the-box	2.0	1.0
hippo	2.0	1.0
administr	2.0	1.0
clifford	2.0	1.0
pov	2.0	1.0
ruben	2.0	1.0
_do_	2.0	1.0
magnat	2.0	1.0
procliv	2.0	1.0
gator	2.0	1.0
top-secret	2.0	1.0
chlo	2.0	1.0
horndog	2.0	1.0
volker	2.0	1.0
selma	2.0	1.0
sanitarium	2.0	1.0
paltri	2.0	1.0
geriatr	2.0	1.0
elmer	2.0	1.0
poodl	2.0	1.0
disposit	2.0	1.0
leather-clad	2.0	1.0
korean	2.0	1.0
munch	2.0	1.0
refrain	2.0	1.0
superl	2.0	1.0
all-too	2.0	1.0
coars	2.0	1.0
baxter	2.0	1.0
money-mak	2.0	1.0
amput	2.0	1.0
career-mind	2.0	1.0
break-up	2.0	1.0
low-tech	2.0	1.0
doppelgang	2.0	1.0
rye	2.0	1.0
biographi	2.0	1.0
grad	2.0	1.0
syllabl	2.0	1.0
diann	2.0	1.0
wiest	2.0	1.0
frumpi	2.0	1.0
mole	2.0	1.0
commenc	2.0	1.0
dougray	2.0	1.0
aerosmith	2.0	1.0
ex-lov	2.0	1.0
snooti	2.0	1.0
empathet	2.0	1.0
tilt	2.0	1.0
microwav	2.0	1.0
on-	2.0	1.0
wanna-b	2.0	1.0
merced	2.0	1.0
ing	2.0	1.0
vii	2.0	1.0
[kjv]	2.0	1.0
scantily-clad	2.0	1.0
herky-jerki	2.0	1.0
gargantuan	2.0	1.0
bra	2.0	1.0
cosmopolitan	2.0	1.0
shay	2.0	1.0
nba	2.0	1.0
shirtless	2.0	1.0
well-paid	2.0	1.0
incapacit	2.0	1.0
manslaught	2.0	1.0
dissuad	2.0	1.0
spotti	2.0	1.0
virginia	2.0	1.0
seclus	2.0	1.0
geez	2.0	1.0
benjamin	2.0	1.0
worn-out	2.0	1.0
snowstorm	2.0	1.0
disaffect	2.0	1.0
marsh	2.0	1.0
penultim	2.0	1.0
pasadena	2.0	1.0
two-and-a-half	2.0	1.0
overwork	2.0	1.0
spruce	2.0	1.0
liv	2.0	1.0
wallpap	2.0	1.0
pamper	2.0	1.0
simper	2.0	1.0
abhorr	2.0	1.0
shaiman	2.0	1.0
unanim	2.0	1.0
54	2.0	1.0
contradictori	2.0	1.0
annabeth	2.0	1.0
anem	2.0	1.0
ridgemont	2.0	1.0
shaggi	2.0	1.0
doozi	2.0	1.0
geoff	2.0	1.0
belinda	2.0	1.0
uncharismat	2.0	1.0
wrinkl	2.0	1.0
tuck	2.0	1.0
cling	2.0	1.0
wholeheart	2.0	1.0
chime	2.0	1.0
dungeon	2.0	1.0
merchant	2.0	1.0
well-stag	2.0	1.0
untam	2.0	1.0
invok	2.0	1.0
businesswoman	2.0	1.0
tribal	2.0	1.0
shyer	2.0	1.0
grammar	2.0	1.0
membership	2.0	1.0
lanki	2.0	1.0
hk	2.0	1.0
handi	2.0	1.0
unscari	2.0	1.0
civilis	2.0	1.0
lapd	2.0	1.0
jun	2.0	1.0
acupunctur	2.0	1.0
four-lett	2.0	1.0
fake-look	2.0	1.0
le	2.0	1.0
subpar	2.0	1.0
westworld	2.0	1.0
post-	2.0	1.0
paleontologist	2.0	1.0
gleeson	2.0	1.0
ottman	2.0	1.0
quotabl	2.0	1.0
reacquaint	2.0	1.0
bai	2.0	1.0
low-brow	2.0	1.0
silverwar	2.0	1.0
homeboy	2.0	1.0
handphon	2.0	1.0
careen	2.0	1.0
porch	2.0	1.0
chariti	2.0	1.0
di$ney	2.0	1.0
foursom	2.0	1.0
frizzi	2.0	1.0
bruis	2.0	1.0
mox	2.0	1.0
playbook	2.0	1.0
billboard	2.0	1.0
lowbrow	2.0	1.0
eye-open	2.0	1.0
syke	2.0	1.0
no	2.0	1.0
vindic	2.0	1.0
hmmmm	2.0	1.0
posh	2.0	1.0
all-around	2.0	1.0
cleans	2.0	1.0
axel	2.0	1.0
intercours	2.0	1.0
erad	2.0	1.0
arliss	2.0	1.0
superweapon	2.0	1.0
stewardess	2.0	1.0
tinker	2.0	1.0
solemn	2.0	1.0
reassess	2.0	1.0
offscreen	2.0	1.0
tumor	2.0	1.0
abe	2.0	1.0
aussi	2.0	1.0
abet	2.0	1.0
go-round	2.0	1.0
sizabl	2.0	1.0
overstay	2.0	1.0
iliff	2.0	1.0
sentient	2.0	1.0
dragonheart	2.0	1.0
discredit	2.0	1.0
leukemia	2.0	1.0
high-fli	2.0	1.0
sure-fir	2.0	1.0
geyser	2.0	1.0
edison	2.0	1.0
mccormack	2.0	1.0
chappell	2.0	1.0
fishi	2.0	1.0
god-lik	2.0	1.0
predestin	2.0	1.0
feral	2.0	1.0
insinu	2.0	1.0
imaginari	2.0	1.0
delus	2.0	1.0
vest	2.0	1.0
cog	2.0	1.0
thailand	2.0	1.0
hokum	2.0	1.0
vicari	2.0	1.0
chain-smok	2.0	1.0
jeffri	2.0	1.0
lamp	2.0	1.0
crucifi	2.0	1.0
omnisci	2.0	1.0
necrophilia	2.0	1.0
kitten	2.0	1.0
plush	2.0	1.0
three-day	2.0	1.0
bueno	2.0	1.0
ferret	2.0	1.0
jokey	2.0	1.0
subservi	2.0	1.0
poof	2.0	1.0
co-script	2.0	1.0
pecker	2.0	1.0
pros	2.0	1.0
nastassja	2.0	1.0
toaster	2.0	1.0
rif	2.0	1.0
prozac	2.0	1.0
lowli	2.0	1.0
sizeabl	2.0	1.0
hardi	2.0	1.0
modifi	2.0	1.0
niggl	2.0	1.0
rican	2.0	1.0
--michael	2.0	1.0
bret	2.0	1.0
undecid	2.0	1.0
stammer	2.0	1.0
gymnast	2.0	1.0
aplenti	2.0	1.0
blip	2.0	1.0
reproduc	2.0	1.0
sprint	2.0	1.0
deflect	2.0	1.0
olympia	2.0	1.0
dukaki	2.0	1.0
vice-presid	2.0	1.0
lowel	2.0	1.0
gambon	2.0	1.0
beacon	2.0	1.0
swordsman	2.0	1.0
sworn	2.0	1.0
lid	2.0	1.0
fring	2.0	1.0
shuffl	2.0	1.0
ooooh	2.0	1.0
garb	2.0	1.0
downer	2.0	1.0
heresi	2.0	1.0
dairi	2.0	1.0
wont	2.0	1.0
earth-shatt	2.0	1.0
guttenberg	2.0	1.0
glave	2.0	1.0
hiatus	2.0	1.0
thoughtless	2.0	1.0
wormhol	2.0	1.0
amazon	2.0	1.0
vulcan	2.0	1.0
soppi	2.0	1.0
calloway	2.0	1.0
aretha	2.0	1.0
clapton	2.0	1.0
sticki	2.0	1.0
unborn	2.0	1.0
monasteri	2.0	1.0
obstetrician	2.0	1.0
parlay	2.0	1.0
populac	2.0	1.0
blood-soak	2.0	1.0
unmemor	2.0	1.0
reinvigor	2.0	1.0
undon	2.0	1.0
pork	2.0	1.0
f-word	2.0	1.0
illinoi	2.0	1.0
crunch	2.0	1.0
last-minut	2.0	1.0
wednesday	2.0	1.0
z-grade	2.0	1.0
star-stud	2.0	1.0
andrzej	2.0	1.0
bartkowiak	2.0	1.0
mae	2.0	1.0
whitman	2.0	1.0
grungi	2.0	1.0
branaugh	2.0	1.0
majorino	2.0	1.0
histrion	2.0	1.0
chestnut	2.0	1.0
revuls	2.0	1.0
morass	2.0	1.0
seasid	2.0	1.0
agatha	2.0	1.0
bluer	2.0	1.0
skirt	2.0	1.0
ex-	2.0	1.0
gaudi	2.0	1.0
prelud	2.0	1.0
half-ass	2.0	1.0
twenty-eight	2.0	1.0
latent	2.0	1.0
booki	2.0	1.0
--a	2.0	1.0
jare	2.0	1.0
tough-guy	2.0	1.0
prolif	2.0	1.0
venu	2.0	1.0
pharmaceut	2.0	1.0
luther	2.0	1.0
remar	2.0	1.0
drive-in	2.0	1.0
sena	2.0	1.0
kalifornia	2.0	1.0
15th	2.0	1.0
sleuth	2.0	1.0
norway	2.0	1.0
ella	2.0	1.0
klendathu	2.0	1.0
t2	2.0	1.0
xander	2.0	1.0
barbet	2.0	1.0
donor	2.0	1.0
snowfal	2.0	1.0
eisenberg	2.0	1.0
three-minut	2.0	1.0
takeoff	2.0	1.0
orton	2.0	1.0
synch	2.0	1.0
overplot	2.0	1.0
infinitum	2.0	1.0
`mi	2.0	1.0
dano	2.0	1.0
afloat	2.0	1.0
o'tool	2.0	1.0
pontif	2.0	1.0
ingrid	2.0	1.0
chimera	2.0	1.0
asinin	2.0	1.0
lovel	2.0	1.0
garofolo	2.0	1.0
impart	2.0	1.0
embezzl	2.0	1.0
vista	2.0	1.0
obituari	2.0	1.0
sherman	2.0	1.0
leonetti	2.0	1.0
umpteenth	2.0	1.0
shelley	2.0	1.0
manuscript	2.0	1.0
wiccan	2.0	1.0
huff	2.0	1.0
antisoci	2.0	1.0
filmographi	2.0	1.0
overcoat	2.0	1.0
rewatch	2.0	1.0
erect	2.0	1.0
mayburi	2.0	1.0
encas	2.0	1.0
coordin	2.0	1.0
marker	2.0	1.0
mimick	2.0	1.0
bernsen	2.0	1.0
thigh	2.0	1.0
caligula	2.0	1.0
avenu	2.0	1.0
`snake	2.0	1.0
canin	2.0	1.0
mancuso	2.0	1.0
burnt	2.0	1.0
simpleton	2.0	1.0
vampire-film	2.0	1.0
rodent	2.0	1.0
machinist	2.0	1.0
steenburgen	2.0	1.0
second-ti	2.0	1.0
rollerblad	2.0	1.0
dickson	2.0	1.0
hanger	2.0	1.0
self-deprec	2.0	2.0
self-esteem	2.0	2.0
straw	2.0	2.0
unspeak	2.0	2.0
telekinet	2.0	2.0
oven	2.0	2.0
afore-ment	2.0	2.0
debaucheri	2.0	2.0
rex	2.0	2.0
download	2.0	2.0
drawer	2.0	2.0
burger	2.0	2.0
pollut	2.0	2.0
isla	2.0	2.0
unwis	2.0	2.0
precoci	2.0	2.0
reliv	2.0	2.0
melanchol	2.0	2.0
brandish	2.0	2.0
socialit	2.0	2.0
whoop	2.0	2.0
flirtati	2.0	2.0
nuke	2.0	2.0
implicit	2.0	2.0
cheng	2.0	2.0
lark	2.0	2.0
dentist	2.0	2.0
firework	2.0	2.0
unspectacular	2.0	2.0
pizza	2.0	2.0
insensit	2.0	2.0
inund	2.0	2.0
bind	2.0	2.0
crave	2.0	2.0
bestow	2.0	2.0
incom	2.0	2.0
dime	2.0	2.0
carradin	2.0	2.0
earliest	2.0	2.0
skew	2.0	2.0
half-way	2.0	2.0
dollop	2.0	2.0
short-liv	2.0	2.0
happier	2.0	2.0
villaini	2.0	2.0
vieluf	2.0	2.0
thierri	2.0	2.0
rife	2.0	2.0
deaf	2.0	2.0
snag	2.0	2.0
mortgag	2.0	2.0
willing	2.0	2.0
coming-of-ag	2.0	2.0
cross-countri	2.0	2.0
devout	2.0	2.0
dissatisfi	2.0	2.0
stormi	2.0	2.0
rolf	2.0	2.0
catharsi	2.0	2.0
unmask	2.0	2.0
less-than-stellar	2.0	2.0
yulin	2.0	2.0
commando	2.0	2.0
cobra	2.0	2.0
omit	2.0	2.0
ohio	2.0	2.0
stump	2.0	2.0
pest	2.0	2.0
renounc	2.0	2.0
dudley	2.0	2.0
simian	2.0	2.0
hazi	2.0	2.0
one-man	2.0	2.0
milit	2.0	2.0
triniti	2.0	2.0
lenni	2.0	2.0
goofbal	2.0	2.0
cooler	2.0	2.0
roast	2.0	2.0
expir	2.0	2.0
unsubtl	2.0	2.0
dank	2.0	2.0
flicker	2.0	2.0
graveyard	2.0	2.0
contort	2.0	2.0
rebound	2.0	2.0
unscath	2.0	2.0
temptress	2.0	2.0
penniless	2.0	2.0
profund	2.0	2.0
airi	2.0	2.0
rapist	2.0	2.0
thorn	2.0	2.0
character-driven	2.0	2.0
sauci	2.0	2.0
disown	2.0	2.0
eraserhead	2.0	2.0
rivalri	2.0	2.0
vladimir	2.0	2.0
censorship	2.0	2.0
dispar	2.0	2.0
clamor	2.0	2.0
cheapli	2.0	2.0
bluster	2.0	2.0
scamper	2.0	2.0
tempo	2.0	2.0
meddl	2.0	2.0
cheroke	2.0	2.0
4th	2.0	2.0
tripp	2.0	2.0
besieg	2.0	2.0
dole	2.0	2.0
nine-year-old	2.0	2.0
casanova	2.0	2.0
whacked-out	2.0	2.0
amiss	2.0	2.0
donaldson	2.0	2.0
breakout	2.0	2.0
tangibl	2.0	2.0
colleen	2.0	2.0
overtak	2.0	2.0
line-up	2.0	2.0
fuss	2.0	2.0
tickl	2.0	2.0
remington	2.0	2.0
snapshot	2.0	2.0
richest	2.0	2.0
schemer	2.0	2.0
pushi	2.0	2.0
snort	2.0	2.0
doorway	2.0	2.0
veneer	2.0	2.0
stockard	2.0	2.0
tenuous	2.0	2.0
outback	2.0	2.0
incarcer	2.0	2.0
irrepress	2.0	2.0
weirdest	2.0	2.0
duh	2.0	2.0
brent	2.0	2.0
jean-luc	2.0	2.0
lip-synch	2.0	2.0
dropout	2.0	2.0
cassidi	2.0	2.0
swore	2.0	2.0
mud	2.0	2.0
genit	2.0	2.0
contrapt	2.0	2.0
longest	2.0	2.0
tote	2.0	2.0
thrash	2.0	2.0
priestley	2.0	2.0
macaulay	2.0	2.0
bothersom	2.0	2.0
irishman	2.0	2.0
tcheki	2.0	2.0
cloak	2.0	2.0
sermon	2.0	2.0
weinstein	2.0	2.0
sacrilegi	2.0	2.0
pointer	2.0	2.0
handcuf	2.0	2.0
bmw	2.0	2.0
unison	2.0	2.0
agit	2.0	2.0
heavyweight	2.0	2.0
blunder	2.0	2.0
mawkish	2.0	2.0
windshield	2.0	2.0
head-to-head	2.0	2.0
basket	2.0	2.0
whereabout	2.0	2.0
mostow	2.0	2.0
disclos	2.0	2.0
unbreak	2.0	2.0
illumin	2.0	2.0
expressionless	2.0	2.0
errand	2.0	2.0
dictat	2.0	2.0
delect	2.0	2.0
namesak	2.0	2.0
drape	2.0	2.0
-esqu	2.0	2.0
romero	2.0	2.0
knockoff	2.0	2.0
nadia	2.0	2.0
simmer	2.0	2.0
laden	2.0	2.0
mandatori	2.0	2.0
elementari	2.0	2.0
tangl	2.0	2.0
gen-x	2.0	2.0
radius	2.0	2.0
retort	2.0	2.0
gish	2.0	2.0
watered-down	2.0	2.0
tv-movi	2.0	2.0
limitless	2.0	2.0
peek	2.0	2.0
becker	2.0	2.0
overrun	2.0	2.0
audit	2.0	2.0
transsexu	2.0	2.0
prevail	2.0	2.0
adorn	2.0	2.0
purport	2.0	2.0
fled	2.0	2.0
aiello	2.0	2.0
jaunt	2.0	2.0
pencil	2.0	2.0
congo	2.0	2.0
sabrina	2.0	2.0
nia	2.0	2.0
boulevard	2.0	2.0
statesid	2.0	2.0
chant	2.0	2.0
1992	2.0	2.0
full-front	2.0	2.0
barf	2.0	2.0
rubbish	2.0	2.0
mid-air	2.0	2.0
retro	2.0	2.0
eyelash	2.0	2.0
rumin	2.0	2.0
pea	2.0	2.0
vondi	2.0	2.0
seanc	2.0	2.0
embitt	2.0	2.0
mistreat	2.0	2.0
turf	2.0	2.0
downbeat	2.0	2.0
tantal	2.0	2.0
lodg	2.0	2.0
bravado	2.0	2.0
barg	2.0	2.0
gist	2.0	2.0
nether	2.0	2.0
thermian	2.0	2.0
ordinarili	2.0	2.0
pyrotechn	2.0	2.0
nefari	2.0	2.0
sweden	2.0	2.0
barr	2.0	2.0
quota	2.0	2.0
stripteas	2.0	2.0
zip	2.0	2.0
bugger	2.0	2.0
pike	2.0	2.0
accommod	2.0	2.0
expressionist	2.0	2.0
carvill	2.0	2.0
baranski	2.0	2.0
self-cent	2.0	2.0
undo	2.0	2.0
discord	2.0	2.0
aidan	2.0	2.0
duguay	2.0	2.0
spiritualist	2.0	2.0
concurr	2.0	2.0
outta	2.0	2.0
kristofferson	2.0	2.0
allan	2.0	2.0
happy-go-lucki	2.0	2.0
vocabulari	2.0	2.0
bombard	2.0	2.0
grandios	2.0	2.0
mckean	2.0	2.0
covert	2.0	2.0
feverish	2.0	2.0
pardon	2.0	2.0
unpopular	2.0	2.0
_not_	2.0	2.0
half-dozen	2.0	2.0
exacerb	2.0	2.0
resuscit	2.0	2.0
dykstra	2.0	2.0
no-nam	2.0	2.0
milieu	2.0	2.0
well-to-do	2.0	2.0
magda	2.0	2.0
tarnish	2.0	2.0
hurdl	2.0	2.0
marceau	2.0	2.0
30-second	2.0	2.0
melissa	2.0	2.0
smart-mouth	2.0	2.0
plop	2.0	2.0
two-dimension	2.0	2.0
crise	2.0	2.0
sailor	2.0	2.0
tatoo	2.0	2.0
pre-releas	2.0	2.0
dupe	2.0	2.0
welch	2.0	2.0
nielson	2.0	2.0
repertoir	2.0	2.0
pave	2.0	2.0
scrub	2.0	2.0
concuss	2.0	2.0
chalk	2.0	2.0
oncom	2.0	2.0
referenc	2.0	2.0
get-up	2.0	2.0
yum	2.0	2.0
brat	2.0	2.0
illustri	2.0	2.0
spier	2.0	2.0
woven	2.0	2.0
simpler	2.0	2.0
allegi	2.0	2.0
dee	2.0	2.0
alzheim	2.0	2.0
austrian	2.0	2.0
daytim	2.0	2.0
draco	2.0	2.0
spat	2.0	2.0
sneaker	2.0	2.0
swagger	2.0	2.0
tenant	2.0	2.0
recipi	2.0	2.0
prosaic	2.0	2.0
falcon	2.0	2.0
mississippi	2.0	2.0
cemetari	2.0	2.0
pow	2.0	2.0
seller	2.0	2.0
tootsi	2.0	2.0
crs	2.0	2.0
groovi	2.0	2.0
vultur	2.0	2.0
underscor	2.0	2.0
preoccup	2.0	2.0
anew	2.0	2.0
policemen	2.0	2.0
initech	2.0	2.0
granddaught	2.0	2.0
undead	2.0	2.0
agon	2.0	2.0
marxist	2.0	2.0
weitz	2.0	2.0
penelop	2.0	2.0
alda	2.0	2.0
patern	2.0	2.0
grandpar	2.0	2.0
disillus	2.0	3.0
seventeen	2.0	3.0
cellist	2.0	3.0
overexpos	2.0	3.0
bribe	2.0	3.0
rep	2.0	3.0
flush	2.0	3.0
unrequit	2.0	3.0
cur	2.0	3.0
meani	2.0	3.0
vancouv	2.0	3.0
sciorra	2.0	3.0
hmm	2.0	3.0
gimmicki	2.0	3.0
fax	2.0	3.0
essay	2.0	3.0
robust	2.0	3.0
lump	2.0	3.0
gripe	2.0	3.0
madman	2.0	3.0
armin	2.0	3.0
