	neg	pos
apricot	0.0	1.0
iniqu	0.0	1.0
ifan	0.0	1.0
bonnevill	0.0	1.0
mckee	0.0	1.0
tv-show	0.0	1.0
viceversa	0.0	1.0
etymolog	0.0	1.0
half-god	0.0	1.0
purer	0.0	1.0
mystiqu	0.0	1.0
tours-de-forc	0.0	1.0
limp-wrist	0.0	1.0
yon	0.0	1.0
ziyi	0.0	1.0
schamus	0.0	1.0
hui	0.0	1.0
kuo	0.0	1.0
jing	0.0	1.0
wo-p	0.0	1.0
dun	0.0	1.0
nygard	0.0	1.0
good-spirit	0.0	1.0
oxford	0.0	1.0
juror	0.0	1.0
whitewat	0.0	1.0
vulcan-lik	0.0	1.0
fealti	0.0	1.0
laugher	0.0	1.0
hygienist	0.0	1.0
linguist	0.0	1.0
up-beat	0.0	1.0
albani	0.0	1.0
seats]	0.0	1.0
cronfront	0.0	1.0
wilk	0.0	1.0
daper	0.0	1.0
stong-wil	0.0	1.0
caste-lik	0.0	1.0
freewil	0.0	1.0
gall	0.0	1.0
signifc	0.0	1.0
signfic	0.0	1.0
tyrani	0.0	1.0
exuberh	0.0	1.0
love-	0.0	1.0
boy-likes-girl	0.0	1.0
boy-gets-killed-in-horrible-accid	0.0	1.0
supernatural-entity-takes-over-boy's-bodi	0.0	1.0
supernatural-entity-falls-in-love-with-girl	0.0	1.0
65th	0.0	1.0
springi	0.0	1.0
snidley	0.0	1.0
murkili	0.0	1.0
voices/acc	0.0	1.0
nc-17-rat	0.0	1.0
full-circl	0.0	1.0
infidelit	0.0	1.0
manip	0.0	1.0
ulat	0.0	1.0
natassja	0.0	1.0
sex-maniac	0.0	1.0
disserv	0.0	1.0
pre-conceiv	0.0	1.0
padua	0.0	1.0
gordon-levitt	0.0	1.0
keegan	0.0	1.0
larisa	0.0	1.0
oleynik	0.0	1.0
kat	0.0	1.0
doltish	0.0	1.0
comedic-rom	0.0	1.0
groundl	0.0	1.0
brassier	0.0	1.0
[katarina]	0.0	1.0
heath	0.0	1.0
ledger	0.0	1.0
opin	0.0	1.0
falstaff	0.0	1.0
caesar	0.0	1.0
crossov	0.0	1.0
prophesi	0.0	1.0
philadephia	0.0	1.0
jonesi	0.0	1.0
geno	0.0	1.0
creepili	0.0	1.0
checkmat	0.0	1.0
acting-rel	0.0	1.0
gretta	0.0	1.0
game-lik	0.0	1.0
washington-suppli	0.0	1.0
overexplain	0.0	1.0
monahan	0.0	1.0
strong-within	0.0	1.0
multi-	0.0	1.0
deja-vu	0.0	1.0
careles	0.0	1.0
gregari	0.0	1.0
sharp-wit	0.0	1.0
houseguest	0.0	1.0
beggar	0.0	1.0
regent	0.0	1.0
pantomim	0.0	1.0
frixo	0.0	1.0
rewarding--a	0.0	1.0
smirkiest	0.0	1.0
cogent	0.0	1.0
modernist	0.0	1.0
iniquit	0.0	1.0
clubish	0.0	1.0
tot	0.0	1.0
who'r	0.0	1.0
yech	0.0	1.0
ciello	0.0	1.0
pre-juliani	0.0	1.0
unintrus	0.0	1.0
ia	0.0	1.0
itti	0.0	1.0
bitti	0.0	1.0
toothpast	0.0	1.0
snow-encrust	0.0	1.0
enumer	0.0	1.0
peyton	0.0	1.0
subthem	0.0	1.0
over-the-hil	0.0	1.0
smog	0.0	1.0
tortoise-lik	0.0	1.0
here-dna	0.0	1.0
lazy-as-alway	0.0	1.0
jean-baptist	0.0	1.0
pig-lik	0.0	1.0
gamorrean	0.0	1.0
problem-whi	0.0	1.0
brion	0.0	1.0
llosa	0.0	1.0
guy-us	0.0	1.0
movie-lov	0.0	1.0
zachari	0.0	1.0
witzi	0.0	1.0
lineman	0.0	1.0
illena	0.0	1.0
hypnosi	0.0	1.0
horror-drama	0.0	1.0
masterfully-don	0.0	1.0
brilliantly-constru	0.0	1.0
dreamt	0.0	1.0
liza	0.0	1.0
frame-of-mind	0.0	1.0
realistically-written	0.0	1.0
spinetingl	0.0	1.0
spirit-dead	0.0	1.0
unconsumm	0.0	1.0
gaga	0.0	1.0
barely-teen	0.0	1.0
cutter	0.0	1.0
for--cook	0.0	1.0
practice--margaret	0.0	1.0
wesleyan	0.0	1.0
lakesid	0.0	1.0
superstructur	0.0	1.0
30-someth	0.0	1.0
crumpl	0.0	1.0
attractive-seem	0.0	1.0
cast--goran	0.0	1.0
nashel	0.0	1.0
jarman	0.0	1.0
caravaggio	0.0	1.0
oscil	0.0	1.0
beset	0.0	1.0
canon	0.0	1.0
boink	0.0	1.0
kafkaism	0.0	1.0
bonet	0.0	1.0
flashlight	0.0	1.0
exacti	0.0	1.0
five-second	0.0	1.0
not-bad	0.0	1.0
clancy-esqu	0.0	1.0
college-town	0.0	1.0
bribery-bas	0.0	1.0
scooby-doo	0.0	1.0
physiolog	0.0	1.0
action/anim	0.0	1.0
pseudo-sci	0.0	1.0
drixenol	0.0	1.0
coli	0.0	1.0
mudslid	0.0	1.0
cerebellum	0.0	1.0
detritus	0.0	1.0
booger	0.0	1.0
runni	0.0	1.0
hyman	0.0	1.0
farrelly-funni	0.0	1.0
uvula	0.0	1.0
nugget	0.0	1.0
enthus	0.0	1.0
all-grown-up	0.0	1.0
voice-chang	0.0	1.0
or	0.0	1.0
stabbin-a-plenti	0.0	1.0
if	0.0	1.0
disapprob	0.0	1.0
wicked	0.0	1.0
wacko	0.0	1.0
hairbrush	0.0	1.0
macleod	0.0	1.0
school-girl	0.0	1.0
pseudo-sophist	0.0	1.0
all-america	0.0	1.0
discombobul	0.0	1.0
ripost	0.0	1.0
temperament	0.0	1.0
snl-relat	0.0	1.0
through-and-through	0.0	1.0
public-access	0.0	1.0
12-step	0.0	1.0
self-deni	0.0	1.0
revok	0.0	1.0
sharply-drawn	0.0	1.0
imbib	0.0	1.0
authori	0.0	1.0
gestat	0.0	1.0
newly-fre	0.0	1.0
long-hamp	0.0	1.0
sage-lik	0.0	1.0
beah	0.0	1.0
glassy-ey	0.0	1.0
lambs_	0.0	1.0
_melvin	0.0	1.0
howard_	0.0	1.0
overstat	0.0	1.0
totem	0.0	1.0
color-satur	0.0	1.0
yellow-green	0.0	1.0
frugal	0.0	1.0
_poltergeist_	0.0	1.0
purple_	0.0	1.0
letter_	0.0	1.0
_littl	0.0	1.0
women_	0.0	1.0
abey	0.0	1.0
rotund	0.0	1.0
nobleman	0.0	1.0
tyrant	0.0	1.0
awk	0.0	1.0
impolit	0.0	1.0
storybook	0.0	1.0
dragon-protect	0.0	1.0
moat-fil	0.0	1.0
motor-mouth	0.0	1.0
grump	0.0	1.0
public-domain	0.0	1.0
domicil	0.0	1.0
queue	0.0	1.0
sandbox	0.0	1.0
mid-1500	0.0	1.0
half-sist	0.0	1.0
norfolk	0.0	1.0
steely-ey	0.0	1.0
walsingham	0.0	1.0
iron-fist	0.0	1.0
gawki	0.0	1.0
coy	0.0	1.0
shekhar	0.0	1.0
kapur	0.0	1.0
adefarasin	0.0	1.0
cathedr	0.0	1.0
hirst	0.0	1.0
pusateri	0.0	1.0
serb	0.0	1.0
-all	0.0	1.0
battle-damag	0.0	1.0
innocent-look	0.0	1.0
9-year-old	0.0	1.0
farmboy	0.0	1.0
little-boy	0.0	1.0
well-cast	0.0	1.0
dinosaur-s	0.0	1.0
venetian-look	0.0	1.0
roman-chariot	0.0	1.0
nascar	0.0	1.0
corsuc	0.0	1.0
paunchi	0.0	1.0
hummingbird	0.0	1.0
qui	0.0	1.0
half-hidden	0.0	1.0
light-sab	0.0	1.0
lv-426	0.0	1.0
ex-mining/maximum	0.0	1.0
lifer	0.0	1.0
ex-prison	0.0	1.0
garnish	0.0	1.0
choral	0.0	1.0
pirahna	0.0	1.0
face-lift	0.0	1.0
suspense/sci	0.0	1.0
hero--or	0.0	1.0
cocoon-typ	0.0	1.0
jorden	0.0	1.0
motherload	0.0	1.0
cameron-regular	0.0	1.0
well-lit	0.0	1.0
suspense/horror	0.0	1.0
`strang	0.0	1.0
mace	0.0	1.0
cock	0.0	1.0
lotsa	0.0	1.0
venna	0.0	1.0
whippersnapp	0.0	1.0
shebang	0.0	1.0
jot	0.0	1.0
lotta	0.0	1.0
deathcamp	0.0	1.0
chaplin-inspir	0.0	1.0
misrepresent	0.0	1.0
southampton	0.0	1.0
high-societi	0.0	1.0
worldly-wis	0.0	1.0
debutant	0.0	1.0
fabrizio	0.0	1.0
astor	0.0	1.0
archibald	0.0	1.0
graci	0.0	1.0
tuss	0.0	1.0
silberg	0.0	1.0
loftus	0.0	1.0
debas	0.0	1.0
gorier	0.0	1.0
gretel	0.0	1.0
bloodier	0.0	1.0
carter--whos	0.0	1.0
edge--had	0.0	1.0
inset	0.0	1.0
dream-rosaleen	0.0	1.0
lansbury's--sh	0.0	1.0
prim	0.0	1.0
synth-heavi	0.0	1.0
shapechang	0.0	1.0
trickiest	0.0	1.0
acting/music/effect	0.0	1.0
hobbit	0.0	1.0
balrog	0.0	1.0
ruritanian	0.0	1.0
ur-real	0.0	1.0
mist-shroud	0.0	1.0
rites-of-passag	0.0	1.0
night-journey	0.0	1.0
idea--but	0.0	1.0
physicfirst	0.0	1.0
vibrantly-act	0.0	1.0
masseur	0.0	1.0
retin	0.0	1.0
hanks/meg	0.0	1.0
ryan-starr	0.0	1.0
levitt	0.0	1.0
bio-pic	0.0	1.0
hero-	0.0	1.0
counterexampl	0.0	1.0
lout	0.0	1.0
bestial	0.0	1.0
inextric	0.0	1.0
brother/manag	0.0	1.0
capitul	0.0	1.0
shrewish	0.0	1.0
misogyni	0.0	1.0
contenda	0.0	1.0
zenith	0.0	1.0
popular-but-slow	0.0	1.0
_ferri	0.0	1.0
bueller_	0.0	1.0
student/teach	0.0	1.0
tonal	0.0	1.0
exorcist-rip	0.0	1.0
daria	0.0	1.0
nicolodi	0.0	1.0
libra	0.0	1.0
odd-sound	0.0	1.0
bloodlet	0.0	1.0
lamberto	0.0	1.0
barbieri	0.0	1.0
sow	0.0	1.0
kidnap/ransom	0.0	1.0
gilroy	0.0	1.0
guerilla	0.0	1.0
huggan	0.0	1.0
viii	0.0	1.0
hand-in-marriag	0.0	1.0
lias	0.0	1.0
lodgerley	0.0	1.0
lecher	0.0	1.0
often-incongru	0.0	1.0
skunk	0.0	1.0
red-hair	0.0	1.0
impresario	0.0	1.0
monroth	0.0	1.0
teeter-tott	0.0	1.0
loveliest	0.0	1.0
safina	0.0	1.0
everything-and-the-kitchen-sink	0.0	1.0
cavort	0.0	1.0
more	0.0	1.0
knockout	0.0	1.0
u2	0.0	1.0
parton	0.0	1.0
taupin	0.0	1.0
love-struck	0.0	1.0
love-it-or-hate-it	0.0	1.0
cmaeron	0.0	1.0
specfic	0.0	1.0
alone--hi	0.0	1.0
power--to	0.0	1.0
machine--a	0.0	1.0
hydraul	0.0	1.0
press--to	0.0	1.0
inescapable--and	0.0	1.0
winfield	0.0	1.0
antagonist--unstopp	0.0	1.0
obdur	0.0	1.0
hurd	0.0	1.0
moving--usu	0.0	1.0
heart-pul	0.0	1.0
endoskeleton	0.0	1.0
huiessan	0.0	1.0
angelica	0.0	1.0
gazarra	0.0	1.0
eight-year	0.0	1.0
triad	0.0	1.0
self-possess	0.0	1.0
soho	0.0	1.0
catti	0.0	1.0
stealthi	0.0	1.0
habitat	0.0	1.0
vivaldi	0.0	1.0
double-team	0.0	1.0
aggriev	0.0	1.0
increasingly-flust	0.0	1.0
apoplect	0.0	1.0
unfeas	0.0	1.0
exploratori	0.0	1.0
not-quite-subtl	0.0	1.0
contractually-oblig	0.0	1.0
resubmit	0.0	1.0
scaled-down	0.0	1.0
withdrew	0.0	1.0
custom-tailor	0.0	1.0
self-chid	0.0	1.0
[his]	0.0	1.0
broadly-observ	0.0	1.0
chatterbox	0.0	1.0
well-us	0.0	1.0
surprisingly-resili	0.0	1.0
tried-and-test	0.0	1.0
occupational-hazard	0.0	1.0
tequila	0.0	1.0
shooter	0.0	1.0
bungee-jump	0.0	1.0
you-at	0.0	1.0
creeps-and	0.0	1.0
e'	0.0	1.0
urbaniak	0.0	1.0
writing-henri	0.0	1.0
once-great	0.0	1.0
councilmen	0.0	1.0
teacher-stud	0.0	1.0
hartley-ian	0.0	1.0
udderley	0.0	1.0
hang-out	0.0	1.0
ellipt	0.0	1.0
budweis	0.0	1.0
streetcorn	0.0	1.0
talker	0.0	1.0
tute	0.0	1.0
mcallist	0.0	1.0
metzler	0.0	1.0
jeanin	0.0	1.0
unoppos	0.0	1.0
seasick	0.0	1.0
crucifix	0.0	1.0
body-strewn	0.0	1.0
janusz	0.0	1.0
kaminski	0.0	1.0
braveheart-dosag	0.0	1.0
procrastin	0.0	1.0
200-page	0.0	1.0
_their_	0.0	1.0
six-foot	0.0	1.0
pittsburgh	0.0	1.0
panhood	0.0	1.0
extra-marit	0.0	1.0
professor-stud	0.0	1.0
dishevel	0.0	1.0
hanson	0.0	1.0
centerpoint	0.0	1.0
touch-up	0.0	1.0
plotwis	0.0	1.0
abducte	0.0	1.0
casanova--what	0.0	1.0
character-develop	0.0	1.0
mtv-type	0.0	1.0
wash-out	0.0	1.0
benito	0.0	1.0
drug-induc	0.0	1.0
misinterpret	0.0	1.0
beginning--whil	0.0	1.0
reptil	0.0	1.0
reality-bas	0.0	1.0
peacenik	0.0	1.0
apathet	0.0	1.0
drub	0.0	1.0
withdraw	0.0	1.0
vegas-styl	0.0	1.0
gusti	0.0	1.0
dehaven	0.0	1.0
machiavellian	0.0	1.0
backdown	0.0	1.0
gruell	0.0	1.0
hero/heroin	0.0	1.0
endeavour	0.0	1.0
urgayl	0.0	1.0
rigour	0.0	1.0
surnam	0.0	1.0
self-advanc	0.0	1.0
tenac	0.0	1.0
attanasio	0.0	1.0
dovetail	0.0	1.0
overlight	0.0	1.0
eisenhow	0.0	1.0
tonya	0.0	1.0
stempl	0.0	1.0
relunct	0.0	1.0
salad	0.0	1.0
wagon	0.0	1.0
writer/director/actor	0.0	1.0
1976	0.0	1.0
boddi	0.0	1.0
whodunnit	0.0	1.0
humpback	0.0	1.0
oceanscap	0.0	1.0
scuffl	0.0	1.0
life-lik	0.0	1.0
goog	0.0	1.0
out-of-work	0.0	1.0
schoolmarm	0.0	1.0
concerto	0.0	1.0
wind-up	0.0	1.0
anomali	0.0	1.0
18-plus	0.0	1.0
winteri	0.0	1.0
enlarg	0.0	1.0
bumblebe	0.0	1.0
horsemen	0.0	1.0
valkyri	0.0	1.0
salvador	0.0	1.0
dali	0.0	1.0
whales/triangl	0.0	1.0
things/sprit	0.0	1.0
[g]	0.0	1.0
we	0.0	1.0
klugman	0.0	1.0
above-ground	0.0	1.0
below-ground	0.0	1.0
personnel	0.0	1.0
manic-depress	0.0	1.0
bleach-blond	0.0	1.0
irradi	0.0	1.0
snodgress	0.0	1.0
coverup	0.0	1.0
rama	0.0	1.0
sarner	0.0	1.0
leichtl	0.0	1.0
underw	0.0	1.0
alread	0.0	1.0
sonnet	0.0	1.0
az--thi	0.0	1.0
voil	0.0	1.0
one-hundred-dollar	0.0	1.0
doorman	0.0	1.0
flower-shop	0.0	1.0
rear-end	0.0	1.0
law-suit	0.0	1.0
elisa	0.0	1.0
gigi	0.0	1.0
slap-stick	0.0	1.0
stayin	0.0	1.0
mone	0.0	1.0
vinegar	0.0	1.0
luedek	0.0	1.0
kaczynski	0.0	1.0
guest-quart	0.0	1.0
knot-ti	0.0	1.0
step-in	0.0	1.0
buddy/weight-lift	0.0	1.0
barbie-dol	0.0	1.0
tracheotomi	0.0	1.0
deaf-mut	0.0	1.0
front-pag	0.0	1.0
multi-purpos	0.0	1.0
burgl	0.0	1.0
pasta	0.0	1.0
hooch	0.0	1.0
spottiswood	0.0	1.0
years-gone-bi	0.0	1.0
titanic-buff	0.0	1.0
reneng	0.0	1.0
searc	0.0	1.0
wrong-side-of-the-track	0.0	1.0
aborb	0.0	1.0
happiest	0.0	1.0
venom8@hotmail	0.0	1.0
infact	0.0	1.0
proxima	0.0	1.0
dissappear	0.0	1.0
nonens	0.0	1.0
squemish	0.0	1.0
pensacola	0.0	1.0
fl	0.0	1.0
acronym	0.0	1.0
skerritt	0.0	1.0
teleport	0.0	1.0
depreci	0.0	1.0
hostess	0.0	1.0
twinki	0.0	1.0
bun	0.0	1.0
vhf	0.0	1.0
network-affili	0.0	1.0
fletcher--channel	0.0	1.0
8	0.0	1.0
ill-natur	0.0	1.0
owner--veteran	0.0	1.0
movies--everyth	0.0	1.0
wrencher	0.0	1.0
airplane-typ	0.0	1.0
winsom	0.0	1.0
spadowski	0.0	1.0
playhous	0.0	1.0
mixed-up	0.0	1.0
over-night	0.0	1.0
foreign-exchang	0.0	1.0
drescher	0.0	1.0
finklestein	0.0	1.0
62	0.0	1.0
thurough	0.0	1.0
villiag	0.0	1.0
buff-o	0.0	1.0
best/worst	0.0	1.0
reoccurr	0.0	1.0
two-million	0.0	1.0
cell-mat	0.0	1.0
mardi	0.0	1.0
gras	0.0	1.0
candyman	0.0	1.0
hockey-mask	0.0	1.0
middle-man	0.0	1.0
harbing	0.0	1.0
courtland	0.0	1.0
sall	0.0	1.0
rey	0.0	1.0
guilt-ridden	0.0	1.0
portinari	0.0	1.0
prepostr	0.0	1.0
davis/harrison	0.0	1.0
pedal	0.0	1.0
prisoner/form	0.0	1.0
stone-fac	0.0	1.0
unweav	0.0	1.0
dirt-poor	0.0	1.0
entrepreneuri	0.0	1.0
_hustler_	0.0	1.0
apparel	0.0	1.0
occassion	0.0	1.0
career-top	0.0	1.0
stubbor	0.0	1.0
flashier	0.0	1.0
free-talk	0.0	1.0
faldwel	0.0	1.0
stapleton	0.0	1.0
born-again	0.0	1.0
studio-releas	0.0	1.0
soooo	0.0	1.0
schoolmat	0.0	1.0
`r	0.0	1.0
teen-access	0.0	1.0
acn	0.0	1.0
fledg	0.0	1.0
theirselv	0.0	1.0
anti-apartheid	0.0	1.0
connundrum	0.0	1.0
cappuccino	0.0	1.0
hypnotist	0.0	1.0
roomat	0.0	1.0
kasinski	0.0	1.0
jam-pack	0.0	1.0
oscar-nomination-worthi	0.0	1.0
exstens	0.0	1.0
overwritten	0.0	1.0
father/son	0.0	1.0
doctor/pati	0.0	1.0
girl/boy	0.0	1.0
acheiv	0.0	1.0
higgin	0.0	1.0
51-year-old	0.0	1.0
gun-run	0.0	1.0
scalis	0.0	1.0
stooli	0.0	1.0
treasuri	0.0	1.0
full-wel	0.0	1.0
gun-deal	0.0	1.0
orr	0.0	1.0
mob-styl	0.0	1.0
fatalist	0.0	1.0
sociologist	0.0	1.0
`afflict	0.0	1.0
whitehous	0.0	1.0
mean-temp	0.0	1.0
bearish	0.0	1.0
townsgirl	0.0	1.0
churlish	0.0	1.0
inescap	0.0	1.0
clamp	0.0	1.0
saturday-night-friend	0.0	1.0
uncount	0.0	1.0
gunmen	0.0	1.0
oswald	0.0	1.0
liking/dislik	0.0	1.0
fun-mak	0.0	1.0
richman	0.0	1.0
faux-sympathi	0.0	1.0
buttercup	0.0	1.0
co-own	0.0	1.0
swanki	0.0	1.0
uptown	0.0	1.0
anchor/correspond	0.0	1.0
harland	0.0	1.0
37th	0.0	1.0
statuett	0.0	1.0
steddi	0.0	1.0
berdan	0.0	1.0
corwin	0.0	1.0
zucker/abrahams/zuck	0.0	1.0
striker	0.0	1.0
ex-fighter-pilot	0.0	1.0
hagerti	0.0	1.0
deathly-il	0.0	1.0
chicago-bound	0.0	1.0
kareem	0.0	1.0
abdul-jabbar	0.0	1.0
ashmor	0.0	1.0
stucker	0.0	1.0
god-given	0.0	1.0
johansson	0.0	1.0
eighteen-wheel	0.0	1.0
camera-tim	0.0	1.0
squarish	0.0	1.0
soft-focus	0.0	1.0
heart-sweep	0.0	1.0
fuddy-duddi	0.0	1.0
horse-train	0.0	1.0
slow-danc	0.0	1.0
topiari	0.0	1.0
mendonca	0.0	1.0
privet-sculpt	0.0	1.0
nonfict	0.0	1.0
reportag	0.0	1.0
helix	0.0	1.0
sleight	0.0	1.0
always-strik	0.0	1.0
double-camera	0.0	1.0
half-jok	0.0	1.0
interrotron	0.0	1.0
receptor	0.0	1.0
vermin	0.0	1.0
showman	0.0	1.0
stratospher	0.0	1.0
elegi	0.0	1.0
precipic	0.0	1.0
musti	0.0	1.0
alloy	0.0	1.0
earthbound	0.0	1.0
scars	0.0	1.0
bouyant	0.0	1.0
28th	0.0	1.0
ugly-duckl	0.0	1.0
innund	0.0	1.0
alvin	0.0	1.0
chipmunk	0.0	1.0
wedd	0.0	1.0
infectu	0.0	1.0
longstand	0.0	1.0
lustr	0.0	1.0
near-certain	0.0	1.0
de'ath	0.0	1.0
fogi	0.0	1.0
nonplus	0.0	1.0
nearly-perfect	0.0	1.0
fall-off	0.0	1.0
kwietniowski	0.0	1.0
adair	0.0	1.0
ever-chang	0.0	1.0
picture/lov	0.0	1.0
residenti	0.0	1.0
gauthier	0.0	1.0
renna	0.0	1.0
tiffani-amb	0.0	1.0
thiessen	0.0	1.0
_mafia_	0.0	1.0
still-pres	0.0	1.0
basqu	0.0	1.0
indiana]	0.0	1.0
adolescent-mind	0.0	1.0
these	0.0	1.0
koran	0.0	1.0
chicaneri	0.0	1.0
burning-bush	0.0	1.0
cort	0.0	1.0
mover	0.0	1.0
spaced-out	0.0	1.0
suspense-fil	0.0	1.0
cop-gone-bad	0.0	1.0
brundag	0.0	1.0
safe-keep	0.0	1.0
mist-esqu	0.0	1.0
woman-of-the-wild	0.0	1.0
awestruck	0.0	1.0
un-creat	0.0	1.0
vetern	0.0	1.0
retro-styl	0.0	1.0
venetian	0.0	1.0
whichev	0.0	1.0
erudit	0.0	1.0
narcolept	0.0	1.0
hyper-tens	0.0	1.0
najimi	0.0	1.0
fun-fil	0.0	1.0
self-don	0.0	1.0
lawyer-in-train	0.0	1.0
faucet	0.0	1.0
personality-impair	0.0	1.0
salesperson	0.0	1.0
squirm-induc	0.0	1.0
reintroduc	0.0	1.0
boardwalk	0.0	1.0
seashel	0.0	1.0
seagul	0.0	1.0
merpeopl	0.0	1.0
not-so-subtl	0.0	1.0
old-	0.0	1.0
shrine	0.0	1.0
potbelli	0.0	1.0
octopus	0.0	1.0
shoah	0.0	1.0
ancestri	0.0	1.0
buchenwald	0.0	1.0
talking-head	0.0	1.0
x-mozilla-status	0.0	1.0
0009f	0.0	1.0
blooper	0.0	1.0
nch	0.0	1.0
basch	0.0	1.0
scud	0.0	1.0
pseudo-suspens	0.0	1.0
re-start	0.0	1.0
overblow	0.0	1.0
letter-perfect	0.0	1.0
hitherto	0.0	1.0
out-of-this-world	0.0	1.0
suspense--and	0.0	1.0
action--	0.0	1.0
companionship	0.0	1.0
behavi	0.0	1.0
believabilti	0.0	1.0
blurb	0.0	1.0
near-	0.0	1.0
quincey	0.0	1.0
profundi	0.0	1.0
sour-old-matriarch-from-hel	0.0	1.0
bataillon	0.0	1.0
hildyard	0.0	1.0
effects-load	0.0	1.0
three-plus	0.0	1.0
lion-heart	0.0	1.0
eastward	0.0	1.0
northward	0.0	1.0
coastlin	0.0	1.0
orat	0.0	1.0
11-year	0.0	1.0
occasionally-humor	0.0	1.0
seemingly-strang	0.0	1.0
sub-human	0.0	1.0
pro-slaveri	0.0	1.0
claimant	0.0	1.0
american/spanish	0.0	1.0
spineless	0.0	1.0
sycoph	0.0	1.0
emotionally-crippl	0.0	1.0
amon	0.0	1.0
goeth	0.0	1.0
chase-riboud	0.0	1.0
upsurg	0.0	1.0
rattigan	0.0	1.0
staccatto	0.0	1.0
suffrag	0.0	1.0
riverboat	0.0	1.0
napalm	0.0	1.0
parma	0.0	1.0
seminar	0.0	1.0
shit-heel	0.0	1.0
kur	0.0	1.0
patrolman	0.0	1.0
unclean	0.0	1.0
sometimes-tedi	0.0	1.0
often-mov	0.0	1.0
diarist	0.0	1.0
most-fam	0.0	1.0
adolph	0.0	1.0
miep	0.0	1.0
gie	0.0	1.0
nationwid	0.0	1.0
mantlepiec	0.0	1.0
burnout	0.0	1.0
repar	0.0	1.0
hothead	0.0	1.0
trampi	0.0	1.0
ultra-eccentr	0.0	1.0
mile-high	0.0	1.0
marmet	0.0	1.0
berkeley-esqu	0.0	1.0
bounteous	0.0	1.0
cleanest	0.0	1.0
hungus	0.0	1.0
sword-wield	0.0	1.0
has-been	0.0	1.0
pseudo-lyr	0.0	1.0
irishfolk	0.0	1.0
rat-infest	0.0	1.0
malnutrit	0.0	1.0
gloomili	0.0	1.0
travelogu	0.0	1.0
hambl	0.0	1.0
famish	0.0	1.0
go-between	0.0	1.0
condescens	0.0	1.0
jee-zus	0.0	1.0
hay-soo	0.0	1.0
post-post-feminist	0.0	1.0
cinematographr	0.0	1.0
carpet-piss	0.0	1.0
viking/bowl	0.0	1.0
newland	0.0	1.0
welland	0.0	1.0
woodward	0.0	1.0
slow-start	0.0	1.0
goyer	0.0	1.0
hematologist	0.0	1.0
n'bush	0.0	1.0
titanium	0.0	1.0
capoeira	0.0	1.0
brazillian	0.0	1.0
exhal	0.0	1.0
deactiv	0.0	1.0
70s/ear	0.0	1.0
battlestar	0.0	1.0
galactica	0.0	1.0
_experience_	0.0	1.0
collat	0.0	1.0
webpag	0.0	1.0
islandnet	0.0	1.0
